CUSTOMER,Pin-pkg,Prod_ID,Bond ID,TA/TB,entity,Lot amount,,
A-DATA,STBGA252C4V,252X2GJ006,AGJ252X20003A,TB-I,BBA03,1,,4
A-DATA,STBGA252C4V,252X2GJ006,AGJ252X20003A,TB-I,BBA15,1,,
A-DATA,STBGA252C4V,252X2GJ006,AGJ252X20003A,TB-I,BBA28,1,,
A-DATA,STBGA252C4V,252X2GJ006,AGJ252X20003A,TB-I,BBA31,1,,
A-DATA,STBGA252C4V,252X2GJ006,AGJ252X20003A,TB-IP,BBS06,1,,1
AKM,QFN-36AB1,036ABBW009,ABW036AB1004A,TB-B,BBF61,4,,1
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-I,BBA19,4,,2
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-I,BBA22,4,,
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-P,BBD03,3,,4
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-P,BBD13,4,,
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-P,BBD14,3,,
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-P,BBD52,2,,
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-R,BBR08,2,,
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-R,BBR21,3,,
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-R,BBR35,2,,
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-R,BBR37,2,,
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-U,BB824,4,,
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-U,BB834,4,,
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-U,BB835,2,,
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-U,BB836,2,,
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-U,BB837,3,,
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-U,BB848,3,,
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-U,BB859,3,,
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-U,BB873,3,,
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-U,BB876,3,,
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-U,BB900,3,,
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-U,BB905,4,,
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-U,BB906,3,,
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-U,BB918,1,,
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-U,BB920,3,,
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-U,BB926,4,,
CHIPLUS,MBGA48A2L,048MAHD001,AHD048MA4002A,TA,BB513,3,,
CHIPLUS,MBGA48A2L,048MAHD001,AHD048MA4002A,TA,BB532,4,,
CHIPLUS,MBGA48A2L,048MAHD001,AHD048MA4002A,TA,BB534,4,,
CHIPLUS,MBGA48A2L,048MAHD001,AHD048MA4002A,TA,BB541,4,,
CHIPLUS,MBGA48A2L,048MAHD001,AHD048MA4002A,TA,BB585,4,,
CYPRESS,TSOP2-54CMES,054TSCS005,ACS054TS1012A,TA-2,BB732,7,,
CYPRESS,TSOP2-54CMES,054TSCS005,ACS054TS1012A,TA-2,BBB20,1,,
CYPRESS,TSOP2-54CMES,054TSCS017,ACS054TS1009A,TA-2,BBB20,2,,
ChipMOS,DFN-08Y62D,008Y6AW028,AAW008Y62014A,TB-P,BBL19,1,,
ChipMOS,DFN-08YD2A,008YDAB014,AAB008YD2003A,TB-R,BBR33,3,,
ChipMOS,DFN-08YD2A,008YDAB014,AAB008YD2003A,TB-U,BB812,1,,
ChipMOS,DFN-08YD2A,008YDAB014,AAB008YD2003A,TB-U,BB849,3,,
ChipMOS,DFN-08YD2A,008YDAB014,AAB008YD2003A,TB-U,BB932,1,,
ChipMOS,DFN-08YD2A,008YDVG006,ABU008YD2004A,TB-U,BB816,1,,
ChipMOS,DFN-08YD2A,008YDVG007,ABU008YD2003A,TB-U,BB816,1,,
ChipMOS,DFN-08YD2A,008YDVG008,ABU008YD2006A,TB-P,BBD56,1,,
ChipMOS,DFN-08YD2A,008YDVG010,ABU008YD2002A,TB-U,BBJ02,1,,
ChipMOS,DFN-08YM2D,008YMAB046,AAB008YM2018A,TB-P,BBD06,3,,
ChipMOS,DFN-08YM2D,008YMAB047,AAB008YM2025A,TB-P,BBD11,1,,
ChipMOS,DFN-08YM2D,008YMAB047,AAB008YM2025A,TB-P,BBD43,1,,
ChipMOS,DFN-08YM2D,008YMAB047,AAB008YM2025A,TB-P,BBL01,1,,
ChipMOS,DFN-08YM2D,008YMAB047,AAB008YM2025A,TB-P,BBL18,1,,
ChipMOS,DFN-08YM2D,008YMAB048,AAB008YM2023A,TB-IP,BBS08,1,,
ChipMOS,DFN-08YM2D,008YMAB051,AAB008YM2019A,TB-P,BBD42,1,,
ChipMOS,DFN-08YM2D,008YMAB062,AAB008YM2023A,TB-U,BB905,1,,
ChipMOS,DFN-08YM2D,008YMAB068,AAB008YM2018A,TB-P,BBD06,1,,
ChipMOS,DFN-08YM2D,008YMAW020,AAW008YM2004A,TB-P,BBD15,2,,
ChipMOS,DFN-08YM2D,008YMAW020,AAW008YM2004A,TB-P,BBD39,1,,
ChipMOS,DFN-08YQ2A,008YQAB072,AAB008YQ2022A,TB-P,BBD36,3,,
ChipMOS,DFN-08YQ2A,008YQAB078,AAB008YQ2032A,TB-P,BBD20,2,,
ChipMOS,DFN-08YQ2A,008YQAB078,AAB008YQ2032A,TB-P,BBD36,3,,
ChipMOS,DFN-08YQ2A,008YQVG006,ABU008YQ2002A,TB-U,BB817,1,,
ChipMOS,DFN-08YQ2A,008YQVG013,ABU008YQ2006A,TB-U,BB817,1,,
ChipMOS,DFN-08YQ2A,008YQVG014,ABU008YQ2018A,TB-U,BB817,1,,
