route,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_hold,cust_code,package_id,po_no,wlot_mvin_perfmd,wlot_actl_mvin_dt,wlot_actl_mvin_tm,wlot_dt_last_trans,wlot_tm_last_trans,wlot_hold_category,wlot_assy_lot,bd_id,urgent_code,wip_outplan_time
MBGA558,P10NVLK22,PHISON,uSD08AQV-C,0086ANV167,1551,0,2200,N,NV,PC51S2910L-00000-01575{BIN22-75UM},511-210302007,Y,20210417,439,20210417,439,,P10NVLK,ANV0086A1062A, E,2021/4/17 07:19
MBGA934,P13HQJR02,EMC,FPSSLGA28r6V,0282JHQ031,2360,0,2200,N,HQ,FSA80SPH001USA{MXXX-120}{GPM},GO202103437,Y,20210417,644,20210417,644,,P13HQJR,AHQ0282J2006A,,2021/4/17 18:23
QFNS205,P15VGA437,ISSI-VG,DFN-08YD2A,008YDVG003,3520,0,2070,N,VG,IS25LP032D-JKLE-TR{BD2008},C02PO-100499561,Y,20210417,710,20210417,11708,,P15VGA4,ABU008YD2008A,,
QFNS205,P15VGA453,ISSI-VG,DFN-08YD2A,008YDVG003,3520,0,2070,N,VG,IS25LP032D-JKLE-TR{BD2008},C02PO-100499561,Y,20210417,710,20210417,11708,,P15VGA4,ABU008YD2008A,,
QFNS205,P15VGA421,ISSI-VG,DFN-08YD2A,008YDVG003,3520,0,2070,N,VG,IS25LP032D-JKLE-TR{BD2008},C02PO-100499561,Y,20210417,710,20210417,11708,,P15VGA4,ABU008YD2008A,,
QFNS205,P15VGA440,ISSI-VG,DFN-08YD2A,008YDVG003,3520,0,2070,N,VG,IS25LP032D-JKLE-TR{BD2008},C02PO-100499561,Y,20210417,710,20210417,11708,,P15VGA4,ABU008YD2008A,,
QFNS205,P15VGA424,ISSI-VG,DFN-08YD2A,008YDVG003,3520,0,2070,N,VG,IS25LP032D-JKLE-TR{BD2008},C02PO-100499561,Y,20210417,710,20210417,11708,,P15VGA4,ABU008YD2008A,,
QFNS205,P15VGA456,ISSI-VG,DFN-08YD2A,008YDVG003,3520,0,2070,N,VG,IS25LP032D-JKLE-TR{BD2008},C02PO-100499561,Y,20210417,710,20210417,11708,,P15VGA4,ABU008YD2008A,,
QFNS205,P15VGA422,ISSI-VG,DFN-08YD2A,008YDVG003,3520,0,2070,N,VG,IS25LP032D-JKLE-TR{BD2008},C02PO-100499561,Y,20210417,710,20210417,11708,,P15VGA4,ABU008YD2008A,,
QFNS205,P15VGA438,ISSI-VG,DFN-08YD2A,008YDVG003,3520,0,2070,N,VG,IS25LP032D-JKLE-TR{BD2008},C02PO-100499561,Y,20210417,710,20210417,11708,,P15VGA4,ABU008YD2008A,,
QFNS205,P15VGA454,ISSI-VG,DFN-08YD2A,008YDVG003,3520,0,2070,N,VG,IS25LP032D-JKLE-TR{BD2008},C02PO-100499561,Y,20210417,710,20210417,11708,,P15VGA4,ABU008YD2008A,,
QFNS205,P15VGA415,ISSI-VG,DFN-08YD2A,008YDVG003,3520,0,2070,N,VG,IS25LP032D-JKLE-TR{BD2008},C02PO-100499561,Y,20210417,710,20210417,11708,,P15VGA4,ABU008YD2008A,,
QFNS205,P15VGA431,ISSI-VG,DFN-08YD2A,008YDVG003,3520,0,2070,N,VG,IS25LP032D-JKLE-TR{BD2008},C02PO-100499561,Y,20210417,710,20210417,11708,,P15VGA4,ABU008YD2008A,,
QFNS205,P15VGA447,ISSI-VG,DFN-08YD2A,008YDVG003,3520,0,2070,N,VG,IS25LP032D-JKLE-TR{BD2008},C02PO-100499561,Y,20210417,710,20210417,11708,,P15VGA4,ABU008YD2008A,,
QFNS205,P15VGA458,ISSI-VG,DFN-08YD2A,008YDVG003,2809,0,2070,N,VG,IS25LP032D-JKLE-TR{BD2008},C02PO-100499561,Y,20210417,710,20210417,11708,,P15VGA4,ABU008YD2008A,,
QFNS205,P15VGA426,ISSI-VG,DFN-08YD2A,008YDVG003,3520,0,2070,N,VG,IS25LP032D-JKLE-TR{BD2008},C02PO-100499561,Y,20210417,710,20210417,11708,,P15VGA4,ABU008YD2008A,,
QFNS205,P15VGA442,ISSI-VG,DFN-08YD2A,008YDVG003,3520,0,2070,N,VG,IS25LP032D-JKLE-TR{BD2008},C02PO-100499561,Y,20210417,710,20210417,11708,,P15VGA4,ABU008YD2008A,,
QFNS205,P15VGA419,ISSI-VG,DFN-08YD2A,008YDVG003,3520,0,2070,N,VG,IS25LP032D-JKLE-TR{BD2008},C02PO-100499561,Y,20210417,710,20210417,11708,,P15VGA4,ABU008YD2008A,,
QFNS205,P15VGA435,ISSI-VG,DFN-08YD2A,008YDVG003,3520,0,2070,N,VG,IS25LP032D-JKLE-TR{BD2008},C02PO-100499561,Y,20210417,710,20210417,11708,,P15VGA4,ABU008YD2008A,,
QFNS205,P15VGA451,ISSI-VG,DFN-08YD2A,008YDVG003,3520,0,2070,N,VG,IS25LP032D-JKLE-TR{BD2008},C02PO-100499561,Y,20210417,710,20210417,11708,,P15VGA4,ABU008YD2008A,,
QFNS205,P15VGA444,ISSI-VG,DFN-08YD2A,008YDVG003,3520,0,2070,N,VG,IS25LP032D-JKLE-TR{BD2008},C02PO-100499561,Y,20210417,710,20210417,11708,,P15VGA4,ABU008YD2008A,,
QFNS205,P15VGA412,ISSI-VG,DFN-08YD2A,008YDVG003,3520,0,2070,N,VG,IS25LP032D-JKLE-TR{BD2008},C02PO-100499561,Y,20210417,710,20210417,11708,,P15VGA4,ABU008YD2008A,,
QFNS205,P15VGA428,ISSI-VG,DFN-08YD2A,008YDVG003,3520,0,2070,N,VG,IS25LP032D-JKLE-TR{BD2008},C02PO-100499561,Y,20210417,710,20210417,11708,,P15VGA4,ABU008YD2008A,,
QFNS205,P15VGA457,ISSI-VG,DFN-08YD2A,008YDVG003,3520,0,2070,N,VG,IS25LP032D-JKLE-TR{BD2008},C02PO-100499561,Y,20210417,710,20210417,11708,,P15VGA4,ABU008YD2008A,,
