cust,pin_pkg,prod_id,bd_id,Location,Original ENT(10:30),Original ENT(11:00),Allocate ENT,Output plan
A-DATA,STBGA252C4V,252X2GJ006,AGJ252X20003A,TB-I,0,0,4,4264
A-DATA,STBGA252C4V,252X2GJ006,AGJ252X20003A,TB-IP,0,0,1,1041
AKM,QFN-36AB1,036ABBW009,ABW036AB1004A,TB-B,0,0,1,12115
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-I,0,0,2,128000
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-P,0,0,4,191518
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-R,0,0,4,144000
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-U,0,0,15,720000
CHIPLUS,MBGA48A2L,048MAHD001,AHD048MA4002A,TA,0,0,5,73426
CYPRESS,TSOP2-54CMES,054TSCS005,ACS054TS1012A,TA-2,0,0,2,6016
CYPRESS,TSOP2-54CMES,054TSCS017,ACS054TS1009A,TA-2,0,0,1,2014
ChipMOS,DFN-08Y62D,008Y6AW028,AAW008Y62014A,TB-P,0,0,1,168
ChipMOS,DFN-08YD2A,008YDAB014,AAB008YD2003A,TB-R,0,0,1,431
ChipMOS,DFN-08YD2A,008YDAB014,AAB008YD2003A,TB-U,0,0,3,282
ChipMOS,DFN-08YD2A,008YDVG006,ABU008YD2004A,TB-U,0,0,1,24
ChipMOS,DFN-08YD2A,008YDVG007,ABU008YD2003A,TB-U,0,0,1,19
ChipMOS,DFN-08YD2A,008YDVG008,ABU008YD2006A,TB-P,0,0,1,4
ChipMOS,DFN-08YD2A,008YDVG010,ABU008YD2002A,TB-U,0,0,1,10
ChipMOS,DFN-08YM2D,008YMAB046,AAB008YM2018A,TB-P,0,0,1,1244
ChipMOS,DFN-08YM2D,008YMAB047,AAB008YM2025A,TB-P,0,0,4,1147
ChipMOS,DFN-08YM2D,008YMAB048,AAB008YM2023A,TB-IP,0,0,1,269
ChipMOS,DFN-08YM2D,008YMAB051,AAB008YM2019A,TB-P,0,0,1,193
ChipMOS,DFN-08YM2D,008YMAB062,AAB008YM2023A,TB-U,0,0,1,181
ChipMOS,DFN-08YM2D,008YMAB068,AAB008YM2018A,TB-P,0,0,1,450
ChipMOS,DFN-08YM2D,008YMAW020,AAW008YM2004A,TB-P,0,0,2,255
ChipMOS,DFN-08YQ2A,008YQAB072,AAB008YQ2022A,TB-P,0,0,1,90
ChipMOS,DFN-08YQ2A,008YQAB078,AAB008YQ2032A,TB-P,0,0,2,120
ChipMOS,DFN-08YQ2A,008YQVG006,ABU008YQ2002A,TB-U,0,0,1,40
ChipMOS,DFN-08YQ2A,008YQVG013,ABU008YQ2006A,TB-U,0,0,1,14
ChipMOS,DFN-08YQ2A,008YQVG014,ABU008YQ2018A,TB-U,0,0,1,12
ChipMOS,QFN-20YU2D,020YUNI024,ANI020YU1005C,TB-I,0,0,2,850
ChipMOS,QFN-36AB1,036ABBW009,ABW036AB1004A,TB-B,0,0,1,200
