P15AWCJ06, AAW048TP1041B, A0803CB1000, 1091A08T41, BB710, 1365.980, 1988.970
P15AWCJ07, AAW048TP1041B, A0803CB1000, 1091A08T41, BB219, 4020.612, 4577.842
P15AWCJ08, AAW048TP1041B, A0803CB1000, 1091A08T41, BB211, 3463.382, 4020.612
P15AWCJ09, AAW048TP1041B, A0803CB1000, 1091A08T41, BB211, 2906.151, 3463.382
P15AWCJ10, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB29, 2752.960, 3375.950
P15AWCJ11, AAW048TP1041B, A0803CB1000, 1091A08T41, BB217, 3006.151, 3563.382
P15AWCJ12, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB22, 3885.940, 4508.930
P15AWCJ13, AAW048TP1041B, A0803CB1000, 1091A08T41, BB230, 816.230, 1373.461
P15AWBL29, AAW048TP1008B, A0803CB1000, 1091A08T41, BB825, 2339.180, 3448.770
P15AWAP26, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU57, 1320.380, 1923.571
P15AWBL30, AAW048TP1008B, A0803CB1000, 1091A08T41, BB871, 1287.590, 2397.180
P15AWBL31, AAW048TP1008B, A0803CB1000, 1091A08T41, BB902, 4590.360, 5699.950
P15AWCZ10, AAW048TP1041B, A0803CB1000, 1091A08T41, BB219, 2348.921, 2906.151
P15AWCZ11, AAW048TP1041B, A0803CB1000, 1091A08T41, BB766, 1517.980, 2140.970
P15AWBL32, AAW048TP1008B, A0803CB1000, 1091A08T41, BB872, 2339.180, 3448.770
P15AWBL33, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU22, 3181.951, 3785.141
P15AWAP28, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU09, 120.000, 723.190
P15AWBL34, AAW048TP1008B, A0803CB1000, 1091A08T41, BB904, 3837.126, 4946.716
P15AWAP29, AAW048TP1008B, A0803CB1000, 1091A08T41, BB909, 148.000, 1257.590
P15AWBL35, AAW048TP1008B, A0803CB1000, 1091A08T41, BB891, 179.000, 1288.590
P15AWBL36, AAW048TP1008B, A0803CB1000, 1091A08T41, BBJ02, 1223.590, 2333.180
P15AWBL37, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU46, 1923.571, 2526.761
P15AWBL38, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU18, 844.190, 1447.380
P15AWCZ13, AAW048TP1041B, A0803CB1000, 1091A08T41, BB787, 114.000, 736.990
P15AWCJ14, AAW048TP1041B, A0803CB1000, 1091A08T41, BB216, 3450.031, 4007.261
P15AWCJ15, AAW048TP1041B, A0803CB1000, 1091A08T41, BB230, 6388.533, 6945.763
P15AWAP27, AAW048TP1008B, A0803CB1000, 1091A08T41, BB710, 4564.930, 5298.800
P15AWAP30, AAW048TP1008B, A0803CB1000, 1091A08T41, BB845, 2339.180, 3448.770
P15AWAP32, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU12, 2561.761, 3164.951
P15AWAP31, AAW048TP1008B, A0803CB1000, 1091A08T41, BB216, 2103.131, 2808.801
P14AWDZ24, AAW048TP1041B, A0803CB1000, 1091A08T41, BB753, 4800.937, 5423.927
P14AWDZ40, AAW048TP1041B, A0803CB1000, 1091A08T41, BB216, 4007.261, 4564.492
P15AWAF38, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU69, 832.190, 1435.380
P15AWAG06, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU69, 3848.141, 4451.331
P15AWAG22, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU16, 783.190, 1386.380
P15AWAG38, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU19, 3223.951, 3827.141
P15AWAJ06, AAW048TP1008B, A0803CB1000, 1091A08T41, BB831, 1254.590, 2364.180
P15AWAJ22, AAW048TP1008B, A0803CB1000, 1091A08T41, BB841, 3442.770, 4552.360
P15AWAJ38, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU16, 2592.761, 3195.951
P15AWAK07, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU66, 178.000, 781.190
P15AWAK23, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU04, 3733.141, 4336.331
P15AWAK39, AAW048TP1008B, A0803CB1000, 1091A08T41, BB801, 120.000, 1229.590
P15AWAL07, AAW048TP1008B, A0803CB1000, 1091A08T41, BB819, 3567.770, 4677.360
P15AWAL23, AAW048TP1008B, A0803CB1000, 1091A08T41, BB911, 3460.770, 4570.360
P15AWAL39, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU68, 1923.571, 2526.761
P15AWAM07, AAW048TP1008B, A0803CB1000, 1091A08T41, BB863, 3542.770, 4652.360
P15AWAM23, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU19, 208.000, 811.190
P15AWAM39, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU59, 717.190, 1320.380
P15AWAN07, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU67, 808.190, 1411.380
P15AWAN23, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU51, 114.000, 717.190
P15AWAN39, AAW048TP1008B, A0803CB1000, 1091A08T41, BB806, 2484.180, 3593.770
P15AWAP07, AAW048TP1008B, A0803CB1000, 1091A08T41, BB904, 2727.536, 3837.126
P15AWAP23, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU06, 3756.141, 4359.331
P15AWBG11, AAW048TP1041B, A0803CB1000, 1091A08T41, BB745, 1417.980, 2040.970
P15AWBG27, AAW048TP1041B, A0803CB1000, 1091A08T41, BB786, 736.990, 1359.980
P15AWBG43, AAW048TP1041B, A0803CB1000, 1091A08T41, BB710, 3857.940, 4480.930
P15AWBL08, AAW048TP1008B, A0803CB1000, 1091A08T41, BB786, 4558.930, 5292.800
P15AWBL24, AAW048TP1008B, A0803CB1000, 1091A08T41, BB904, 508.356, 1617.946
P15AWBM08, AAW048TP1041B, A0803CB1000, 1091A08T41, BB759, 2611.960, 3234.950
P15AWBM24, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB29, 6146.790, 6769.781
P15AWBM40, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB22, 4508.930, 5131.920
P15AWCC02, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB29, 883.990, 1506.980
P15AWCC18, AAW048TP1041B, A0803CB1000, 1091A08T41, BB745, 5155.920, 5778.910
