P15AWCJ06, AAW048TP1041B, A0803CB1000, 1091A08T41, BB766, 5813.681, 6436.671
P15AWCJ07, AAW048TP1041B, A0803CB1000, 1091A08T41, BB759, 120.000, 742.990
P15AWCJ08, AAW048TP1041B, A0803CB1000, 1091A08T41, BB211, 1466.900, 2024.131
P15AWCJ09, AAW048TP1041B, A0803CB1000, 1091A08T41, BB230, 816.230, 1373.461
P15AWCJ10, AAW048TP1041B, A0803CB1000, 1091A08T41, BB753, 3353.950, 3976.940
P15AWCJ11, AAW048TP1041B, A0803CB1000, 1091A08T41, BB231, 4577.842, 5135.072
P15AWCJ12, AAW048TP1041B, A0803CB1000, 1091A08T41, BB219, 716.701, 1273.931
P15AWCJ13, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB36, 4176.820, 4799.810
P15AWBL29, AAW048TP1008B, A0803CB1000, 1091A08T41, BB883, 547.028, 1656.618
P15AWAP26, AAW048TP1008B, A0803CB1000, 1091A08T41, BB767, 8067.224, 8801.094
P15AWBL30, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU43, 3733.141, 4336.331
P15AWBL31, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU67, 2617.761, 3220.951
P15AWCZ10, AAW048TP1041B, A0803CB1000, 1091A08T41, BB725, 1650.286, 2273.276
P15AWCZ11, AAW048TP1041B, A0803CB1000, 1091A08T41, BB710, 1988.970, 2611.960
P15AWBL32, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU69, 229.000, 832.190
P15AWBL33, AAW048TP1008B, A0803CB1000, 1091A08T41, BB768, 3364.950, 4098.820
P15AWAP28, AAW048TP1008B, A0803CB1000, 1091A08T41, BB852, 1238.590, 2348.180
P15AWBL34, AAW048TP1008B, A0803CB1000, 1091A08T41, BB864, 257.000, 1366.590
P15AWAP29, AAW048TP1008B, A0803CB1000, 1091A08T41, BBB22, 148.000, 881.870
P15AWBL35, AAW048TP1008B, A0803CB1000, 1091A08T41, BB831, 5692.950, 6802.540
P15AWBL36, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU13, 251.000, 854.190
P15AWBL37, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU65, 269.000, 872.190
P15AWBL38, AAW048TP1008B, A0803CB1000, 1091A08T41, BB841, 114.000, 1223.590
P15AWCZ13, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB03, 2992.840, 3615.830
P15AWCJ14, AAW048TP1041B, A0803CB1000, 1091A08T41, BB234, 5030.282, 5587.512
P15AWCJ15, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB03, 3615.830, 4238.820
P15AWAP27, AAW048TP1008B, A0803CB1000, 1091A08T41, BB801, 3448.770, 4558.360
