P15AWCJ06, A0803CB1000, 1091A08T41, BB706, 2291.850, 2914.840
P15AWCJ07, A0803CB1000, 1091A08T41, BB716, 60.000, 682.990
P15AWCJ08, A0803CB1000, 1091A08T41, BB234, 2280.571, 2837.801
P15AWCJ09, A0803CB1000, 1091A08T41, BB726, 4634.581, 5257.571
P15AWCJ10, A0803CB1000, 1091A08T41, BBB25, 1473.980, 2096.970
P15AWCJ11, A0803CB1000, 1091A08T41, BB701, 1524.860, 2147.850
P15AWCJ12, A0803CB1000, 1091A08T41, BB726, 877.870, 1500.860
P15AWCJ13, A0803CB1000, 1091A08T41, BBB12, 766.990, 1389.980
P15AWBL29, A0803CB1000, 1091A08T41, BB214, 4501.141, 5206.812
P15AWAP26, A0803CB1000, 1091A08T41, BB789, 60.000, 793.870
P15AWBL30, A0803CB1000, 1091A08T41, BB732, 3816.710, 4550.581
P15AWBL31, A0803CB1000, 1091A08T41, BB847, 1253.590, 2363.180
P15AWCZ10, A0803CB1000, 1091A08T41, BB724, 4038.471, 4661.461
P15AWCZ11, A0803CB1000, 1091A08T41, BB786, 2998.840, 3621.830
P15AWBL32, A0803CB1000, 1091A08T41, BB712, 1584.860, 2318.730
P15AWBL33, A0803CB1000, 1091A08T41, BB818, 60.000, 1169.590
P15AWAP28, A0803CB1000, 1091A08T41, BB717, 60.000, 793.870
P15AWBL34, A0803CB1000, 1091A08T41, BB894, 3640.770, 4750.360
P15AWAP29, A0803CB1000, 1091A08T41, BB849, 4834.360, 5943.950
P15AWBL35, A0803CB1000, 1091A08T41, BB818, 2447.180, 3556.770
P15AWBL36, A0803CB1000, 1091A08T41, BB775, 877.870, 1611.740
P15AWBL37, A0803CB1000, 1091A08T41, BB822, 60.000, 1169.590
P15AWBL38, A0803CB1000, 1091A08T41, BB815, 9608.720, 10718.310
P15AWCZ13, A0803CB1000, 1091A08T41, BB218, 2132.131, 2689.361
P15AWCJ14, A0803CB1000, 1091A08T41, BB225, 4845.492, 5402.722
P15AWCJ15, A0803CB1000, 1091A08T41, BB760, 3756.710, 4379.700
P15AWAP27, A0803CB1000, 1091A08T41, BBB18, 2291.850, 3025.720
P15AWAP30, A0803CB1000, 1091A08T41, BB881, 2447.180, 3556.770
P15AWAP32, A0803CB1000, 1091A08T41, BBB20, 6533.790, 7267.661
P15AWAP31, A0803CB1000, 1091A08T41, BB732, 4985.628, 5719.498
P14AWDZ24, A0803CB1000, 1091A08T41, BB778, 3816.710, 4439.700
P14AWDZ40, A0803CB1000, 1091A08T41, BBB34, 877.870, 1500.860
P15AWAF38, A0803CB1000, 1091A08T41, BB831, 2447.180, 3556.770
P15AWAG06, A0803CB1000, 1091A08T41, BB717, 3816.710, 4550.581
P15AWAG22, A0803CB1000, 1091A08T41, BB758, 2887.960, 3621.830
P15AWAG38, A0803CB1000, 1091A08T41, BB760, 0.000, 733.870
P15AWAJ06, A0803CB1000, 1091A08T41, BB746, 9430.921, 10164.791
P15AWAJ22, A0803CB1000, 1091A08T41, BB887, 3640.770, 4750.360
P15AWAJ38, A0803CB1000, 1091A08T41, BB865, 1253.590, 2363.180
P15AWAK07, A0803CB1000, 1091A08T41, BB705, 3517.076, 4250.947
