CUSTOMER,Pin-pkg,Prod_ID,Bond ID,TA/TB,Allocate ENT,Output plan
A-DATA,STBGA252C4V,252X2GJ006,AGJ252X20003A,TB-I,4,4230.0
A-DATA,STBGA252C4V,252X2GJ006,AGJ252X20003A,TB-IP,1,1075.0
AKM,QFN-36AB1,036ABBW009,ABW036AB1004A,TB-B,4,12115.0
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-I,6,96000.0
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-P,11,176000.0
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-R,12,192000.0
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-U,45,719518.0
CHIPLUS,MBGA48A2L,048MAHD001,AHD048MA4002A,TA,19,73426.0
CYPRESS,TSOP2-54CMES,054TSCS005,ACS054TS1012A,TA-2,8,6016.0
CYPRESS,TSOP2-54CMES,054TSCS017,ACS054TS1009A,TA-2,2,2014.0
ChipMOS,DFN-08YD2A,008YDAB014,AAB008YD2003A,TB-R,1,33.0
ChipMOS,DFN-08YD2A,008YDAB014,AAB008YD2003A,TB-U,3,172.0
ChipMOS,DFN-08YD2A,008YDVG006,ABU008YD2004A,TB-U,1,24.0
ChipMOS,DFN-08YD2A,008YDVG007,ABU008YD2003A,TB-U,1,19.0
ChipMOS,DFN-08YD2A,008YDVG008,ABU008YD2006A,TB-P,1,4.0
ChipMOS,DFN-08YD2A,008YDVG010,ABU008YD2002A,TB-U,1,10.0
ChipMOS,DFN-08YM2D,008YMAB046,AAB008YM2018A,TB-IP,3,1244.0
ChipMOS,DFN-08YM2D,008YMAB047,AAB008YM2025A,TB-P,1,207.0
ChipMOS,DFN-08YM2D,008YMAB048,AAB008YM2023A,TB-P,1,269.0
ChipMOS,DFN-08YM2D,008YMAB051,AAB008YM2019A,TB-P,1,193.0
ChipMOS,DFN-08YM2D,008YMAB062,AAB008YM2023A,TB-U,1,181.0
ChipMOS,DFN-08YM2D,008YMAB068,AAB008YM2018A,TB-IP,1,450.0
ChipMOS,DFN-08YM2D,008YMAW020,AAW008YM2004A,TB-P,3,255.0
ChipMOS,DFN-08YQ2A,008YQAB072,AAB008YQ2022A,TB-P,3,90.0
ChipMOS,DFN-08YQ2A,008YQAB078,AAB008YQ2032A,TB-P,5,120.0
ChipMOS,DFN-08YQ2A,008YQVG006,ABU008YQ2002A,TB-U,1,40.0
ChipMOS,DFN-08YQ2A,008YQVG013,ABU008YQ2006A,TB-U,1,14.0
ChipMOS,DFN-08YQ2A,008YQVG014,ABU008YQ2018A,TB-U,1,12.0
ChipMOS,QFN-36AB1,036ABBW009,ABW036AB1004A,TB-B,2,200.0
ChipMOS,TSOP1-48AM,048TWMS080,AMS048TW1065A,TA,1,180.0
ChipMOS,VFBGA90B4L,090NCAB019,AAB090NC4006A,TA,1,20.0
DIALOG,QFN-20YU2D,020YUNI024,ANI020YU1005C,TB-I,15,164800.0
EMC,FPSSLGA34VBV,0345JHQ001,AHQ0345J1001A,TB-R,3,13693.0
EMC,FPSSLGA41FRV,0415LHQ012,AHQ0415L1003B,TB-R,7,6585.0
EMC,FPSTLGA44tBV,0442JHQ015,AHQ0442J3003A,TB-IP,1,2333.0
EMC,FPSTLGA44tBV,0442JHQ016,AHQ0442J3003A,TB-I,26,57223.0
EMC,FPSTLGA44tBV,0442JHQ016,AHQ0442J3003A,TB-R,27,62302.0
ENG,DFN-08YQ2A,008YQCME30ENG,AAB008YQ2037A,TB-U,2,864.0
ENG,FPSLGA12f6V,0122ICM019ENG,AHQ0122I1001A,TB-I,1,960.0
Everspin,STDFN-08YD2E,008YDVE004,AVE008YD2002A,TB-U,8,26295.0
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,32,29998.0
ICSI,FBGA-78LEA,078EABU001,ABU078EA1001A,TA,13,24854.0
ICSI,FBGA-78LEA,078EABU001,ABU078EA1001A,TA-2,4,5292.0
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA,18,38294.0
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA-2,5,11818.0
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA-3,2,2226.0
ICSI,FBGA-96UEF,096EFBU001,ABU096EF2001A,TA,25,116678.0
ICSI,FBGA-96UEF,096EFBU002,ABU096EF2002A,TA,22,93121.0
ICSI,MINIBGA48A1,048MABU002,CU048MA2012A,TA,4,15912.0
ICSI,MINIBGA54A4L,054MFBU005,ABU054MF2001B,TA-2,2,6240.0
ICSI,MINIBGA54A4L,054MFBU005,ABU054MF2001B,TA-3,3,9322.0
ISSI-VG,DFN-08Y62D,008Y6VG005,ABU008Y62001A,TB-U,26,211510.0
ISSI-VG,DFN-08YD2A,008YDVG003,ABU008YD2008A,TB-U,58,203449.0
ISSI-VG,DFN-08YD2A,008YDVG005,ABU008YD2001A,TB-P,5,17089.0
ISSI-VG,DFN-08YD2A,008YDVG005,ABU008YD2001A,TB-U,6,21120.0
ISSI-VG,DFN-08YD2A,008YDVG010,ABU008YD2002A,TB-U,2,7040.0
ISSI-VG,DFN-08YM2D,008YMVG003,ABU008YM2002A,TB-P,3,48000.0
ISSI-VG,DFN-08YM2D,008YMVG003,ABU008YM2002A,TB-U,26,389629.0
ISSI-VG,MBGA24J4U,024MAVG011,ABU024MA6010A,TA-2,3,17632.0
ISSI-VG,STBGA24J4U,024XJVG009,ABU024XJ6003A,TA-3,4,34707.0
LAPIS,TSOP1-48A2,048TVOK056,AOK048TV1029A,TA-3,5,12800.0
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,27,153331.0
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TB-5P,18,102742.0
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,65,219217.0
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA-2,2,7180.0
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-5B,8,25965.0
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-5P,10,33624.0
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-B,1,3600.0
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-I,8,22138.0
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-IP,7,25116.0
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-P,33,107977.0
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-U,3,10760.0
MTI,FBGA-96UEC,096ECMS010,AMS096EC3001B,TA,10,51131.0
